Incubation_Center,Name_of_startup,Location of company,Sector,City,State
Krishna Path Incubation Society- TBI KIET,Quest educational technologies LLP,"Ghaziabad, Uttar Pradesh",Edutech,Ghaziabad,Uttar Pradesh
Krishna Path Incubation Society- TBI KIET,MOTS Private Limited,"Fatehpur, Uttar Pradesh",Travel,Fatehpur,Uttar Pradesh
Krishna Path Incubation Society- TBI KIET,FARMOCONNECT LLP TECHNOLOGIES,"Ghaziabad, Uttar Pradesh",Agritech,Ghaziabad,Uttar Pradesh
Krishna Path Incubation Society- TBI KIET,ANI SCRAP PVT LTD,"Ghaziabad, Uttar Pradesh",WASTE MANAGEMENT,Ghaziabad,Uttar Pradesh
Krishna Path Incubation Society- TBI KIET,Dineo,"Jaipur, Rajasthan",IT,Jaipur,Rajasthan
Krishna Path Incubation Society- TBI KIET,Bhurak Technologies Pvt. Ltd.,"Saharanpur, Uttar Pradesh",A.I. (Computer Vision),Saharanpur,Uttar Pradesh
"NSRCEL, IIM Bangalore",MedPiper Technologies Pvt Ltd,"Bengaluru, Karnataka",Healthtech,Bengaluru,Karnataka
"NSRCEL, IIM Bangalore",(Solvio) Curious Bee Innovations Private Limited,"Bengaluru, Karnataka",Education Technology,Bengaluru,Karnataka
Pilani Innovation and Entrepreneurship Development Centre,Nawgati,"Gurugram, Haryana",Mobility,Gurugram,Haryana
Pilani Innovation and Entrepreneurship Development Centre,Adnue,Jodhpur,Advertising Technology,Jodhpur,Rajasthan
Pilani Innovation and Entrepreneurship Development Centre,Medsupervision,Faridabad,Healthcare,Faridabad,Haryana
Pilani Innovation and Entrepreneurship Development Centre,Nirogyan,New Delhi,Healthcare,New Delhi,
Pilani Innovation and Entrepreneurship Development Centre,Valerio Electric,New Delhi,Electric Vechiles,New Delhi,
Pilani Innovation and Entrepreneurship Development Centre,Syzygy,"Jaipur, Rajasthan",Healthcare,Jaipur,Rajasthan
Pilani Innovation and Entrepreneurship Development Centre,Urbantrack,Pilani,Urban Transportation,Pilani,
Pilani Innovation and Entrepreneurship Development Centre,Greynight,"Bengaluru, Karnataka",Space Tech,Bengaluru,Karnataka
Pilani Innovation and Entrepreneurship Development Centre,Finquant,Hazartganj,MicroFinance,Hazartganj,
PSG - Science and Technology Entrepreneurial Park (PSG - STEP),Dot World Technologies,"Coimbatore, Tamil Nadu",Robotics / Automation,Coimbatore,Tamil Nadu
PSG - Science and Technology Entrepreneurial Park (PSG - STEP),Agna Inc,"Coimbatore, Tamil Nadu",Bio Medical,Coimbatore,Tamil Nadu
PSG - Science and Technology Entrepreneurial Park (PSG - STEP),Embedded Shastra Solutions,"Coimbatore, Tamil Nadu",Edutech /,Coimbatore,Tamil Nadu
PSG - Science and Technology Entrepreneurial Park (PSG - STEP),Mechcreatio Industrial Solutions,"Coimbatore, Tamil Nadu",Agritech,Coimbatore,Tamil Nadu
PSG - Science and Technology Entrepreneurial Park (PSG - STEP),Switch Mobility Private Limited,"Bengaluru, Karnataka",Electronics,Bengaluru,Karnataka
Sandip Incubation Centre Nashik,Duende Ingenious LLP,"Nashik , Maharashtra",Rural Development,Nashik,Maharashtra
Sandip Incubation Centre Nashik,Management Forum,"Nashik , Maharashtra",Infotech,Nashik,Maharashtra
Sandip Incubation Centre Nashik,Payveb Resources Pvt.Ltd,"Nashik , Maharashtra","IT, IoT, Retail, eCommerce & Fintech",Nashik,Maharashtra
Sandip Incubation Centre Nashik,Drishte,"Hyderabad, Telangana",Ai,Hyderabad,Telangana
"SIIC, IIT Kanpur",PATS Literary Solutions (P) Ltd,"Kanpur, Uttar Pradesh","Education, Media & Entertainment",Kanpur,Uttar Pradesh
SIIC,Hacklab Solutions Private Limited,"Bengaluru, Karnataka",Industrial Automation,Bengaluru,Karnataka
SIIC,Airth Research Private Limited,"Delhi, Delhi",Healthcare,Delhi,Delhi
"SIIC, IIT Kanpur",E-Trainer Analytics Wizard Pvt ltd,New Delhi,Fit-Tech,New Delhi,
"SIIC, IIT Kanpur",Invariance Automation Private Limited,"Kanpur, Uttar Pradesh",Industrial Automation,Kanpur,Uttar Pradesh
"SIIC, IIT Kanpur",Neoperk Technologies Pvt. Ltd.,"Mumbai, Maharashtra",Agri-Tech - Soil Testing,Mumbai,Maharashtra
"SIIC, IIT Kanpur",WeRehab Technologies Pvt Ltd,"Nagpur, Maharashtra",Health tech,Nagpur,Maharashtra
"SIIC, IIT Kanpur",Life and Limb (P) Ltd,"Kanpur, Uttar Pradesh",Health-Tech,Kanpur,Uttar Pradesh
"SIIC, IIT Kanpur",Offgrid EnergyLabs,"Kanpur, Uttar Pradesh",Clean Energy,Kanpur,Uttar Pradesh
"SIIC, IIT Kanpur",?GeoWiz Consultancy Pvt. Ltd,"Kanpur, Uttar Pradesh",Geospatial data services,Kanpur,Uttar Pradesh
"SIIC, IIT Kanpur",E-Trainer Analytics Wizard Pvt. Ltd (Fitbuddy),New Delhi,Fit-Tech,New Delhi,
"SIIC, IIT Kanpur",Reolo Holographics Pvt LTD,"Ahmedabad, Gujarat",AR/VR,Ahmedabad,Gujarat
"SIIC, IIT Kanpur",WUS ( Product of Pradivya Software Pvt Ltd),"Panchkula, Haryana, India,","""Low Income Workers"" Empowerment",Panchkula,"Haryana, India,"
"SIIC, IIT Kanpur",Cycle spirit Pvt Ltd,"Kanpur, Uttar Pradesh",Electric vehicles,Kanpur,Uttar Pradesh
"SIIC, IIT Kanpur",ClaitoVision Tecnologies Pvt Ltd,"Thane, Maharashtra",Health and FItness,Thane,Maharashtra
"SIIC, IIT Kanpur",WeRehab Technologies Pvt Ltd,"Kanpur, Uttar Pradesh",Healthtech,Kanpur,Uttar Pradesh
"SIIC, IIT Kanpur",CASHYEAR,"Lucknow, Uttar Pradesh",FINTECH,Lucknow,Uttar Pradesh
"SIIC, IIT Kanpur",InvoViron Industries Trading Pvt Ltd,"Kanpur, Uttar Pradesh",Waste to Value (Bioplastics and Polymer Recycling),Kanpur,Uttar Pradesh
"SIIC, IIT Kanpur",HINDONICS TECHNOLOGIES PRIVATE LIMTIED,Gorakhpur,Hardware Technology,Gorakhpur,
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Ixar Robotic Solution,"Mumbai, Maharashtra",Under water vehcle,Mumbai,Maharashtra
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Micob Private Limited,Gandhinagar,Construction,Gandhinagar,
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Udayan Ecotech Pvt Ltd.,"Pune, Maharashtra",EV,Pune,Maharashtra
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Incorporation yet to be done,,EduTech,,
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Bramhansh Technologies Pvt Ltd,Chattisgarh,Healthcare,Chattisgarh,
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Clairvoyance Mindware Pvt Ltd,"Pune, Maharashtra",Healthcare,Pune,Maharashtra
